1,23
2,36
3,58
4,69
5,90
6,109
7,131
8,146
9,178
10,192
11,212
12,229
13,259
14,287
15,296
16,315
17,341
18,369
19,383
20,408
21,418
22,450
23,519
24,534
25,555
26,579
27,611
28,608
29,627
30,686
31,731
32,717
33,760
34,768
35,821
36,857
37,888
38,948
39,953
40,1001
41,1024
42,1001
43,1067
44,1110
45,1137
46,1151
47,1198
48,1213
49,1244
50,1273
51,1319
52,1362
53,1379
54,1455
55,1450
56,1501
57,1493
58,1571
59,1589
60,1623
61,1650
62,1709
63,1711
64,1786
65,1872
66,1938
67,1897
68,1940
69,1964
70,2058
