1,25
2563,1530083
1030,221363
3593,3180393
2060,982669
4623,5630388
528,58673
3090,2360714
1558,531496
4120,4242996
26,688
2588,1643783
1056,248778
3618,3268198
2086,1007828
4648,5538493
553,63751
3115,2540585
1583,549665
4145,4412513
51,1617
2613,1585705
1081,258835
3643,3331429
2111,995484
4673,5927193
578,70513
3141,2483403
1608,595836
4171,4416607
76,2643
2638,1604438
1106,255715
3668,3284858
2136,1037790
4698,5716178
603,76019
3166,2375753
1633,589566
4196,4369848
101,3944
2663,1756666
1131,280797
3693,3286217
2161,1057461
4723,5843608
629,81450
3191,2451808
1658,621641
4221,4436352
126,5018
2688,1738090
1156,282123
3718,3427719
2186,1078874
4748,5988013
654,89549
3216,2435226
1684,692193
4246,4675440
151,6473
2714,1727130
1181,300768
3743,3397380
2211,1099773
4773,5949643
679,112426
3241,2485428
1709,648753
4271,4575823
176,8123
2739,1807551
1206,315732
3769,3455493
2236,1119172
4799,6015276
704,103860
3266,2673056
1734,696409
4296,4831070
201,9722
2764,1788761
1231,314049
3794,3535563
2261,1158659
4824,6111438
729,122107
3291,2564904
1759,759950
4321,4933437
227,11903
2789,1870476
1257,346068
3819,3622721
2286,1272725
4849,6603005
754,123789
3316,2599646
1784,696668
4346,4771626
252,14552
2814,1839948
1282,359033
3844,3668628
2312,1291256
4874,6278871
779,126493
3342,2906967
1809,740409
4371,4784653
277,17705
2839,2042545
1307,396142
3869,3879714
2337,1276817
4899,6407218
804,135019
3367,2857501
1834,759912
4397,5073632
302,19728
2864,1977904
1332,374832
3894,3739083
2362,1259795
4924,6155158
829,153533
3392,2964678
1859,766466
4422,5278212
327,22938
2889,2002766
1357,402484
3919,3804714
2387,1292100
4949,6597140
855,154488
3417,2780793
1885,782069
4447,4965186
352,26470
2914,1963496
1382,404232
3944,3950179
2412,1312442
4974,6607561
880,166032
3442,2829931
1910,796068
4472,5032657
377,30058
2940,2004306
1407,430601
3970,4031922
2437,1354331
5000,6713669
905,174437
3467,2930975
1935,828952
4497,5331656
402,34274
2965,2082457
1432,438839
3995,4084165
2462,1431428
930,178806
3492,2940607
1960,852422
4522,5386319
428,38527
2990,2058833
1457,474674
4020,3978941
2487,1417615
955,195091
3517,2975684
1985,1016303
4547,5317699
453,42640
3015,2130841
1483,471813
4045,4025178
2513,1497878
980,206498
3543,3030259
2010,905214
4572,5656806
478,48963
3040,2212228
1508,484126
4070,4144021
2538,1468568
1005,213518
3568,3047057
2035,930051
4598,5645548
503,54993
3065,2372584
1533,509153
4095,4180275
